Manufacturer,Price,Body Style,Fuel Efficiency,Engine Volume,Powertrain,License Status,Manufacture Year,Variant,Location,Distance Covered,Gearbox,Owner_Type
Audi,299500.0,crossover,147,3.0,Diesel,yes,2008,Q7,tanger,28246,Manual,Second
BMW,290500.0,sedan,70,3.0,Petrol,yes,2008,330,oujda,58000,Automatic,First
Mercedes-Benz,34750.0,sedan,250,4.0,Diesel,no,2002,S 400,hosseima,20689,Manual,First
Volkswagen,,vagon,161,1.4,Petrol,yes,2011,Passat B7,hosseima,46821,Manual,First
Toyota,235500.0,crossover,89,2.0,Petrol,yes,2012,Rav 4,hosseima,31021,Automatic,First
Mercedes-Benz,83700.0,sedan,199,5.0,Petrol,yes,1996,S 500,hosseima,50234,Manual,First
Renault,78200.0,van,123,1.5,Diesel,yes,2012,Kangoo,Casablanca,57000,Manual,First
Renault,78695.0,sedan,87,1.4,Petrol,yes,2008,Megane,Casablanca,74000,Automatic,First
BMW,257500.0,crossover,180,4.8,Petrol,yes,2008,X5,dakhla,42355,Manual,First
Volkswagen,610105.0,van,50,2.0,Diesel,yes,2013,Multivan,tanger,29277,Automatic,First
Volkswagen,93015.83,hatch,103,1.4,Petrol,yes,2012,Polo,sefrou,100000,Automatic,Third
Volkswagen,139250.0,vagon,130,1.4,Gas,yes,2010,Passat B6,oujda,45000,Manual,First
Mercedes-Benz,1070105.0,van,0,2.5,Diesel,yes,2016,V 250,marrakech,38000,Automatic,Second
BMW,135800.0,sedan,140,2.2,Petrol,yes,2005,520,rabat,140000,Manual,Third
Toyota,106800.0,sedan,123,,Petrol,yes,2008,Corolla,tanger,30090,Automatic,First
Mitsubishi,260800.0,crossover,45,2.5,Diesel,yes,2015,Pajero Sport,hosseima,61648,Automatic,First
Audi,191500.0,vagon,144,2.0,Diesel,yes,2010,A4,dakhla,29000,Manual,First
Audi,371900.0,other,14,1.8,Petrol,yes,2014,TT,rabat,85000,Automatic,First
Mercedes-Benz,24300.0,sedan,261,2.3,Gas,yes,1978,E-Class,hosseima,52398,Manual,First
Mitsubishi,74900.0,sedan,118,1.6,Petrol,yes,2007,Lancer,hosseima,46936,Automatic,First
Mercedes-Benz,26700.0,sedan,350,3.0,Diesel,yes,1988,300,mekness,46000,Automatic,Second
BMW,282800.0,crossover,205,3.0,Diesel,yes,2008,X5,tanger,39644,Automatic,First
Volkswagen,104105.0,van,152,1.6,Diesel,yes,2012,Caddy,hosseima,26023,Automatic,First
Renault,31450.0,vagon,280,19.0,Diesel,yes,2000,Kangoo,dakhla,72000,Manual,First
Mitsubishi,81500.0,sedan,79,1.6,Gas,yes,2008,Lancer,marrakech,29000,Automatic,First
Renault,33100.0,vagon,150,1.9,Diesel,no,2003,Laguna,tetouan,22000,Automatic,First
Renault,108989.0,van,185,1.5,Diesel,yes,2008,Kangoo,hosseima,60475,Automatic,First
Mitsubishi,72700.0,sedan,193,1.6,Petrol,yes,2005,Lancer,dakhla,80000,Manual,First
Renault,31989.0,van,245,1.5,Diesel,yes,2003,Kangoo,dakhla,70961,Manual,First
Renault,63900.0,van,250,1.9,Diesel,yes,2005,Trafic,rabat,21000,Manual,First
Toyota,263000.0,crossover,132,4.0,Petrol,yes,2008,Land Cruiser Prado,hosseima,50867,Manual,First
Renault,76000.0,sedan,110,1.4,Petrol,yes,2012,Symbol,mekness,31465,Manual,First
Renault,71600.0,van,134,1.5,Diesel,yes,2011,Kangoo,tetouan,1001,Manual,First
Volkswagen,30900.0,sedan,2,1.8,Petrol,yes,1989,Passat B3,Casablanca,17000,Automatic,First
Volkswagen,136500.0,sedan,84,2.0,Petrol,yes,2007,Passat B6,hosseima,60033,Automatic,First
Toyota,192545.0,sedan,131,2.0,Petrol,yes,2011,Avensis,marrakech,20487,Manual,First
Mercedes-Benz,1098989.0,crossover,0,3.0,Petrol,yes,2016,GLE-Class,marrakech,68465,Manual,First
Volkswagen,37500.0,sedan,189,1.8,Petrol,yes,1993,Vento,oujda,67635,Manual,First
Mitsubishi,81700.0,sedan,135,2.0,Gas,yes,2007,Lancer,dakhla,62700,Manual,Second
Volkswagen,78200.0,van,270,1.9,Diesel,yes,2008,T5 (Transporter) ,rabat,50000,Manual,First
Renault,64100.0,van,280,90.0,Diesel,yes,2008,Kangoo,rabat,96813,Manual,Second
Mercedes-Benz,422500.0,sedan,56,2.2,Diesel,yes,2014,CLA-Class,dakhla,50000,Manual,First
Renault,32000.0,van,217,1.4,Petrol,yes,2004,Kangoo,oujda,120000,Manual,First
Audi,48500.0,vagon,206,2.5,Diesel,no,2003,A6,Casablanca,12573,Manual,First
Mercedes-Benz,126547.0,other,300,4.3,Gas,yes,2001,S 430,Casablanca,66000,Manual,Second
BMW,59500.0,sedan,249,,Other,yes,1995,530,hosseima,45725,Manual,First
Mercedes-Benz,57300.0,sedan,380,3.0,Diesel,yes,1995,E-Class,hosseima,44782,Automatic,First
Volkswagen,40989.0,hatch,152,1.0,Petrol,yes,2000,Lupo,marrakech,44000,Manual,Second
Volkswagen,119989.0,van,95,1.6,Diesel,yes,2012,Caddy,tetouan,60001,Automatic,First
BMW,824000.0,crossover,16,3.0,Diesel,yes,2015,X6,oujda,52618,Manual,First
BMW,96000.0,sedan,225,2.2,Gas,yes,2002,320,Casablanca,68001,Automatic,Second
Volkswagen,89200.0,sedan,180,,Petrol,yes,2007,Jetta,Casablanca,28004,Manual,First
Mercedes-Benz,161800.0,crossover,242,2.7,Diesel,yes,2005,ML 270,mekness,77795,Manual,First
Volkswagen,110300.0,other,215,1.9,Other,yes,2007,T5 (Transporter),rabat,24500,Manual,Second
BMW,27800.0,sedan,296,3.0,Diesel,no,2001,730,hosseima,60813,Manual,Second
Mercedes-Benz,83700.0,sedan,340,2.2,Diesel,yes,2002,Vito,rabat,18000,Manual,First
Volkswagen,45200.0,sedan,1,1.4,Petrol,yes,2012,Golf VI,tetouan,36000,Manual,First
Volkswagen,96900.0,van,100,1.4,Gas,yes,2009,Caddy,dakhla,48324,Manual,First
Volkswagen,70500.0,sedan,190,1.9,Diesel,yes,2006,Caddy,hosseima,56075,Manual,First
BMW,182700.0,sedan,150,2.0,Diesel,yes,2008,520,oujda,90000,Manual,First
Mitsubishi,284989.0,crossover,86,3.2,Diesel,yes,2011,Pajero Wagon,Casablanca,65263,Manual,First
Renault,99650.0,van,220,2.0,Diesel,yes,2007,Trafic,tetouan,60000,Manual,First
BMW,1286000.0,crossover,1,,Other,yes,2016,X6 M,tanger,37882,Manual,First
Volkswagen,81500.0,sedan,272,2.8,Gas,yes,2002,Passat B5,agadir,47001,Manual,First
Volkswagen,128800.0,other,200,1.9,Diesel,yes,2007,T5 (Transporter),tanger,33709,Automatic,First
Volkswagen,75450.0,other,217,1.9,Diesel,yes,2006,Caddy,marrakech,65213,Manual,First
Mercedes-Benz,115600.0,van,250,2.2,Diesel,yes,2006,Sprinter 313,oujda,65280,Manual,First
Volkswagen,140900.0,van,180,2.0,Diesel,yes,2012,T5 (Transporter) ,dakhla,59364,Automatic,First
Toyota,361450.0,other,50,5.7,Petrol,yes,2013,Tundra,hosseima,58775,Manual,First
Volkswagen,50900.0,sedan,350,2.0,Gas,yes,2000,Bora,rabat,61000,Automatic,Second
Audi,107900.0,vagon,284,2.5,Diesel,yes,2004,A6,oujda,78000,Automatic,First
Mercedes-Benz,127700.0,crossover,284,4.0,Diesel,yes,2004,ML 400,oujda,38000,Automatic,First
Volkswagen,114500.0,van,170,1.6,Diesel,yes,2013,Caddy,hosseima,32227,Manual,First
Mitsubishi,123500.0,crossover,170,3.0,Gas,yes,2005,Pajero Sport,rabat,25000,Manual,Second
Toyota,497500.0,crossover,65,4.0,Gas,yes,2010,FJ Cruiser,marrakech,90000,Manual,Second
Toyota,113400.0,sedan,87,1.6,Petrol,yes,2008,Corolla,rabat,135000,Manual,First
Renault,90850.0,other,141,1.5,Other,yes,2012,Megane,Casablanca,31000,Automatic,First
Audi,94700.0,sedan,202,3.7,Gas,yes,1998,A8,tetouan,46000,Manual,First
Mercedes-Benz,52900.0,van,248,2.2,Diesel,yes,2003,Vito,oujda,84415,Manual,First
Volkswagen,198100.0,other,64,2.0,Petrol,yes,2011,Scirocco,oujda,88500,Manual,First
Mercedes-Benz,83700.0,sedan,230,2.0,Petrol,yes,2001,C-Class,tetouan,12800,Manual,First
Mercedes-Benz,152989.0,van,98,2.2,Diesel,yes,2011,Vito,hosseima,52625,Manual,First
Audi,32000.0,sedan,278,2.5,Diesel,no,1999,A6,sefrou,6500000,Automatic,First
Renault,83900.0,vagon,105,1.5,Diesel,yes,2010,Kangoo,marrakech,65000,Automatic,Second
Audi,103500.0,vagon,165,2.7,Gas,yes,2003,A6 Allroad,dakhla,64424,Manual,First
BMW,37500.0,sedan,185,2.0,Diesel,no,2002,320,hosseima,54199,Manual,First
BMW,329000.0,sedan,78,3.8,Petrol,yes,1993,M5,dakhla,22000,Manual,First
BMW,47400.0,sedan,300,2.0,Petrol,yes,1995,520,sefrou,28000,Automatic,First
Mitsubishi,138700.0,crossover,110,2.4,Gas,yes,2008,Outlander XL,oujda,123600,Manual,First
Toyota,94700.0,sedan,131,1.6,Gas,yes,2007,Corolla,oujda,54631,Manual,First
Volkswagen,83900.0,van,229,1.9,Diesel,yes,2001,T4 (Transporter),rabat,55001,Automatic,Second
Mercedes-Benz,54000.0,sedan,350,1.8,Other,yes,1995,C-Class,mekness,81605,Manual,First
Volkswagen,199200.0,hatch,23,1.4,Petrol,yes,2013,Golf VI,Casablanca,51167,Manual,First
Renault,83700.0,sedan,100,1.6,Gas,yes,2008,Megane,dakhla,75200,Manual,First
BMW,125700.0,sedan,316,,Diesel,yes,2001,730,rabat,86000,Manual,Second
Renault,121221.0,vagon,190,1.5,Diesel,yes,2011,Laguna,rabat,95995,Automatic,First
Mercedes-Benz,65400.0,van,290,2.2,Diesel,yes,1999,Vito,sefrou,73000,Manual,Third
Renault,135389.0,van,177,2.0,Diesel,yes,2009,Trafic,tetouan,27000,Manual,First
BMW,318000.0,sedan,170,2.0,Diesel,yes,2011,520,oujda,73212,Manual,First
BMW,373000.0,sedan,115,5.0,Petrol,yes,2008,750,oujda,85512,Manual,First
Mercedes-Benz,25600.0,van,280,2.9,Diesel,no,1997,Sprinter 312,hosseima,92239,Automatic,Second
BMW,496200.0,crossover,68,3.0,Diesel,yes,2012,X5,Casablanca,31000,Manual,First
Renault,9989.0,sedan,430,2.0,Gas,yes,1988,25,rabat,27755,Manual,First
Toyota,194547.0,other,120,2.7,Gas,yes,2006,Land Cruiser Prado,dakhla,40000,Manual,First
Renault,22100.0,vagon,237,1.9,Diesel,no,2001,Laguna,marrakech,23988,Manual,First
Toyota,35300.0,van,345,2.4,Diesel,yes,1992,Hiace,tanger,23106,Automatic,First
Toyota,395000.0,crossover,66,3.0,Diesel,yes,2010,Land Cruiser Prado,tanger,48624,Manual,First
BMW,149700.0,sedan,122,2.0,Petrol,yes,2007,318,rabat,39800,Manual,First
Toyota,206900.0,crossover,161,2.7,Gas,yes,2005,Land Cruiser Prado,oujda,22857,Manual,First
Volkswagen,219000.0,crossover,115,2.5,Diesel,yes,2008,Touareg,hosseima,41736,Automatic,First
Audi,141989.0,vagon,225,2.5,Diesel,yes,2004,A6 Allroad,agadir,77000,Manual,First
Toyota,151900.0,sedan,102,3.5,Gas,yes,2008,Camry,Casablanca,7000,Automatic,First
Mercedes-Benz,261900.0,sedan,96,3.5,Petrol,yes,2009,S 350,agadir,77000,Manual,First
Mercedes-Benz,492000.0,sedan,1,1.6,Petrol,yes,2015,C-Class,agadir,70000,Manual,Second
BMW,323500.0,sedan,850,,Petrol,yes,2011,523,tanger,61110,Manual,First
Mercedes-Benz,,crossover,0,3.0,Diesel,yes,2016,GLS 350,Casablanca,14000,Manual,First
Volkswagen,23400.0,sedan,268,99.99,Petrol,yes,1989,Passat B3,oujda,111111,Manual,Second
Audi,,sedan,2,3.0,Diesel,yes,2015,A8,tanger,59636,Automatic,First
Audi,37500.0,other,360,2.2,Gas,yes,1990,100,tetouan,66035,Manual,First
Volkswagen,119989.0,other,240,2.5,Diesel,yes,2005,LT,tanger,26731,Manual,First
Audi,39900.0,sedan,302,1.9,Diesel,no,2002,A6,sefrou,234000,Manual,Second
Volkswagen,74900.0,sedan,300,1.8,Petrol,yes,1998,Passat B5,tetouan,80000,Automatic,First
Mercedes-Benz,224500.0,sedan,222,5.5,Petrol,yes,2006,S 500,mekness,52000,Manual,First
BMW,202500.0,crossover,250,4.4,Gas,yes,2005,X5,dakhla,100000,Manual,First
BMW,411500.0,other,45,2.0,Petrol,yes,2013,520,tanger,72599,Manual,First
Toyota,1808500.0,crossover,0,4.5,Diesel,yes,2015,Land Cruiser 200,oujda,81759,Manual,First
Mercedes-Benz,305000.0,other,12,1.8,Petrol,yes,2013,C-Class,agadir,67000,Manual,Second
Mercedes-Benz,79300.0,vagon,380,2.9,Diesel,yes,1997,E-Class,hosseima,38424,Manual,First
Renault,80950.0,other,190,,Diesel,yes,2004,Grand Scenic,tanger,36840,Manual,First
BMW,15500.0,sedan,270,2.5,Diesel,no,1992,525,rabat,37000,Manual,First
Volkswagen,268500.0,crossover,62,2.0,Diesel,yes,2012,Passat CC,tetouan,35175,Manual,First
Mitsubishi,171900.0,crossover,180,3.0,Gas,yes,2008,Pajero Wagon,oujda,162000,Manual,Second
BMW,433500.0,crossover,115,4.4,Petrol,yes,2010,X5,tanger,101119,Automatic,First
Mercedes-Benz,20100.0,other,350,2.4,Diesel,yes,1988,MB,rabat,121000,Manual,Second
Volkswagen,24850.0,sedan,11,1.9,Other,no,2000,Passat B5,dakhla,52000,Manual,First
Mitsubishi,7800.0,sedan,340,,Other,yes,1986,Galant,Casablanca,128000,Automatic,First
Mitsubishi,98000.0,crossover,200,2.0,Gas,yes,2006,Outlander,Casablanca,33000,Manual,First
Volkswagen,63900.0,van,278,1.9,Diesel,yes,2005,Caddy,sefrou,177000,Manual,First
BMW,147700.0,sedan,254,3.0,Diesel,yes,2003,530,rabat,52000,Manual,Second
Volkswagen,246500.0,crossover,151,3.0,Diesel,yes,2009,Touareg,tetouan,35888,Manual,First
Renault,101300.0,sedan,94,1.5,Diesel,yes,2011,Fluence,dakhla,63262,Manual,First
Mitsubishi,103500.0,crossover,225,2.4,Gas,yes,2004,Outlander,oujda,66149,Manual,First
Renault,79289.0,sedan,160,2.0,Petrol,yes,2007,Megane,marrakech,46676,Manual,First
Volkswagen,492000.0,sedan,90,3.0,Diesel,yes,2011,Phaeton,sefrou,55000,Manual,Second
Renault,38800.0,van,196,1.9,Diesel,yes,1998,Kangoo,sefrou,82000,Manual,Second
Toyota,272000.0,crossover,80,4.0,Gas,yes,2008,FJ Cruiser,hosseima,36855,Manual,Second
BMW,61150.0,sedan,284,2.0,Petrol,yes,1998,520,mekness,82069,Manual,First
Toyota,90300.0,hatch,136,1.6,Petrol,yes,2007,Corolla,dakhla,80000,Manual,First
Mercedes-Benz,92500.0,van,630,2.9,Diesel,yes,1998,Sprinter 312,Casablanca,73000,Manual,First
BMW,690000.0,crossover,0,2.0,Diesel,yes,2015,X5,marrakech,61000,Manual,Second
Audi,85000.0,sedan,234,2.4,Petrol,yes,1998,A6,mekness,62000,Manual,Second
Mitsubishi,83150.0,sedan,133,1.5,Gas,yes,2008,Lancer,tanger,27075,Manual,First
Volkswagen,109000.0,van,160,1.6,Diesel,yes,2012,Caddy,tanger,61386,Manual,First
Volkswagen,151900.0,vagon,123,1.4,Gas,yes,2013,Touran,oujda,36778,Manual,First
Volkswagen,84800.0,van,282,2.5,Diesel,yes,2000,T4 (Transporter),rabat,112500,Automatic,First
Toyota,,crossover,33,2.7,Gas,yes,2012,Venza,mekness,65000,Manual,Second
Mercedes-Benz,20450.0,sedan,1,2.0,Diesel,yes,1979,200,tanger,35569,Manual,First
Volkswagen,54200.0,van,235,2.0,Diesel,yes,2005,Caddy,dakhla,74000,Manual,Second
Mercedes-Benz,162900.0,sedan,171,3.2,Gas,yes,2006,E-Class,tanger,35463,Automatic,First
BMW,382900.0,crossover,65,2.0,Petrol,yes,2013,X3,marrakech,53000,Automatic,First
Mitsubishi,207989.0,crossover,173,3.8,Gas,yes,2008,Pajero Wagon,tanger,75421,Manual,First
Audi,239900.0,other,114,3.2,Petrol,yes,2009,A5,Casablanca,16900,Manual,First
Mercedes-Benz,206900.0,sedan,232,3.0,Diesel,yes,2007,E-Class,tetouan,54000,Manual,First
Volkswagen,83700.0,sedan,180,1.8,Petrol,yes,2004,Passat B5,Casablanca,10000,Manual,First
Mitsubishi,30900.0,sedan,350,1.6,Petrol,yes,1994,Lancer,mekness,15000,Manual,First
Volkswagen,72700.0,van,300,2.5,Diesel,yes,1997,T4 (Transporter),dakhla,51000,Manual,First
BMW,49600.0,sedan,340,2.0,Gas,yes,1995,520,sefrou,13000,Automatic,First
Volkswagen,98000.0,hatch,120,1.2,Diesel,yes,2012,Polo,tetouan,40000,Manual,First
Mercedes-Benz,141989.0,sedan,247,4.0,Diesel,yes,2003,S 400,tanger,27417,Automatic,First
Mitsubishi,449890.0,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,oujda,39791,Manual,First
Renault,140900.0,crossover,89,2.5,Petrol,yes,2010,Koleos,mekness,69876,Manual,First
Toyota,329000.0,crossover,85,2.7,Gas,yes,2010,Land Cruiser Prado,oujda,75000,Automatic,First
BMW,285000.0,crossover,270,4.8,Petrol,yes,2008,X5,mekness,56000,Manual,First
Volkswagen,104600.0,hatch,132,1.6,Petrol,yes,2007,Golf V,tanger,23163,Manual,First
Volkswagen,92500.0,van,210,2.5,Diesel,yes,2003,T4 (Transporter),tetouan,103000,Manual,First
Volkswagen,98200.0,van,248,1.9,Diesel,yes,2007,T5 (Transporter) ,dakhla,65000,Automatic,Second
Audi,615000.0,crossover,44,3.0,Diesel,yes,2014,Q7,rabat,42244,Manual,First
BMW,89200.0,sedan,210,3.5,Petrol,yes,1999,735,Casablanca,25422,Manual,First
Toyota,207989.0,crossover,153,2.7,Gas,yes,2006,Land Cruiser Prado,tetouan,45000,Manual,First
Mitsubishi,34200.0,sedan,330,1.3,Gas,yes,1996,Lancer,hosseima,21684,Automatic,First
Toyota,934000.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,tetouan,47000,Manual,First
Volkswagen,157400.0,van,237,2.0,Diesel,yes,2010,T5 (Transporter),mekness,39000,Manual,First
BMW,34200.0,sedan,178,1.9,Petrol,no,2001,318,tetouan,45008,Manual,First
Mercedes-Benz,180500.0,van,223,2.2,Diesel,yes,2009,Vito,tetouan,14000,Manual,First
Volkswagen,118900.0,van,240,2.5,Diesel,yes,2007,T5 (Transporter),sefrou,50000,Manual,First
Audi,51800.0,sedan,390,2.6,Petrol,yes,1993,100,hosseima,40611,Manual,First
BMW,266500.0,sedan,114,,Petrol,yes,2005,M5,mekness,65000,Automatic,Second
Renault,98000.0,vagon,178,2.0,Petrol,yes,2008,Scenic,hosseima,45178,Automatic,First
Mercedes-Benz,1946000.0,crossover,0,5.5,Petrol,yes,2016,GLS 63,Casablanca,57000,Manual,First
Volkswagen,116700.0,sedan,195,3.2,Petrol,yes,2007,Passat B6,hosseima,14322,Manual,First
Mitsubishi,204000.0,crossover,47,2.0,Petrol,yes,2012,ASX,rabat,73204,Automatic,Third
Volkswagen,19900.0,hatch,100,1.6,Petrol,yes,1989,Golf II,oujda,67147,Manual,First
Volkswagen,81500.0,sedan,240,1.8,Petrol,yes,2002,Passat B5,Casablanca,60000,Automatic,First
Volkswagen,65200.0,van,340,1.8,Petrol,yes,1999,Sharan,agadir,78616,Automatic,Second
Audi,66100.0,sedan,305,1.6,Other,yes,1996,A4,hosseima,13418,Automatic,First
Audi,103489.0,sedan,255,2.5,Diesel,yes,2002,A6,sefrou,91000,Manual,First
BMW,362000.0,sedan,147,3.0,Diesel,yes,2009,730,rabat,6000,Manual,First
BMW,327900.0,crossover,182,3.0,Petrol,yes,2008,X6,hosseima,38691,Manual,First
Toyota,230000.0,crossover,74,2.0,Petrol,yes,2011,Rav 4,hosseima,51806,Manual,First
Mercedes-Benz,,sedan,240,2.2,Diesel,yes,2001,E-Class,Casablanca,47000,Manual,First
BMW,642500.0,crossover,80,3.0,Diesel,yes,2013,X5,rabat,50000,Manual,First
Audi,183800.0,hatch,47,1.2,Petrol,yes,2013,A3,mekness,44000,Automatic,First
Mitsubishi,59500.0,crossover,1,2.0,Petrol,yes,1986,Pajero,hosseima,43368,Automatic,First
Volkswagen,30900.0,van,433,2.4,Diesel,no,1995,T4 (Transporter),dakhla,40250,Manual,First
Audi,22089.0,sedan,314,1.9,Diesel,no,1996,A4,Casablanca,11000,Manual,First
Renault,90289.0,sedan,19,1.2,Petrol,yes,2013,Logan,dakhla,65000,Manual,First
Renault,86989.0,van,154,1.5,Diesel,yes,2008,Scenic,Casablanca,100000,Manual,First
Mercedes-Benz,247600.0,crossover,165,3.0,Diesel,yes,2007,ML 320,tetouan,32000,Manual,First
Mercedes-Benz,125500.0,van,180,2.2,Diesel,yes,2011,Vito,hosseima,61591,Manual,First
Renault,88300.0,van,221,1.5,Diesel,yes,2009,Kangoo,dakhla,69000,Manual,Second
Mercedes-Benz,206900.0,other,50,3.5,Petrol,yes,2005,SLK 350,tetouan,33517,Manual,First
Renault,213612.88,crossover,0,1.5,Diesel,yes,2016,Duster,rabat,215750,Manual,Second
Mercedes-Benz,151900.0,sedan,216,2.2,Diesel,yes,2007,E-Class,Casablanca,118000,Manual,First
Audi,74900.0,sedan,360,2.5,Diesel,yes,1997,A6,tanger,49008,Manual,First
Renault,159600.0,other,169,2.3,Diesel,yes,2013,Master,mekness,71932,Automatic,First
Toyota,29989.0,vagon,5,1.3,Petrol,yes,1989,Corolla,sefrou,78000,Manual,Second
Toyota,747000.0,crossover,67,4.5,Diesel,yes,2012,Land Cruiser 200,rabat,24000,Automatic,First
Mercedes-Benz,35300.0,sedan,330,2.0,Gas,yes,1988,190,tanger,32205,Automatic,First
Audi,13850.0,vagon,400,1.9,Diesel,no,1994,80,Casablanca,4018,Manual,First
Renault,80840.0,other,148,1.5,Diesel,yes,2012,Kangoo,mekness,79000,Automatic,First
BMW,547900.0,other,82,3.0,Petrol,yes,2012,640,mekness,76155,Manual,First
Audi,35300.0,vagon,300,2.5,Diesel,no,1999,A6,tetouan,54895,Manual,First
Mitsubishi,34750.0,sedan,380,1.8,Petrol,yes,1993,Galant,tanger,36264,Manual,First
Toyota,189300.0,other,135,3.5,Gas,yes,2009,Camry,rabat,98437,Manual,First
Audi,679000.0,vagon,24,3.0,Diesel,yes,2015,A6 Allroad,rabat,48000,Manual,Second
Renault,55100.0,vagon,156,1.5,Diesel,yes,2006,Kangoo,oujda,1900,Manual,First
Mercedes-Benz,222300.0,sedan,198,1.8,Gas,yes,2011,E-Class,rabat,90000,Manual,First
Volkswagen,80400.0,van,168,1.9,Diesel,yes,2005,Caddy,Casablanca,25500,Automatic,First
Mercedes-Benz,49600.0,van,200,2.2,Diesel,yes,2000,Vito,tetouan,35008,Manual,First
BMW,65000.0,sedan,300,2.8,Petrol,yes,1996,528,hosseima,50075,Manual,First
Toyota,285750.0,sedan,17,2.5,Petrol,yes,2015,Camry,mekness,57478,Manual,Second
Mitsubishi,134300.0,other,160,2.5,Diesel,yes,2008,L 200,tanger,26185,Manual,First
Audi,251989.0,crossover,125,4.2,Petrol,yes,2008,Q7,sefrou,5000,Manual,First
Volkswagen,104600.0,sedan,107,1.6,Gas,yes,2011,Polo,hosseima,51349,Manual,First
Mercedes-Benz,274000.0,van,156,,Other,yes,2012,Viano,tetouan,42118,Manual,First
Audi,103500.0,vagon,160,2.7,Gas,yes,2003,A6 Allroad,tanger,68439,Manual,First
Toyota,277500.0,crossover,200,4.0,Petrol,yes,2007,Land Cruiser Prado,tanger,53934,Manual,Second
Mercedes-Benz,60800.0,van,282,2.2,Diesel,yes,2001,Vito,rabat,79000,Manual,Second
Mercedes-Benz,1230989.0,crossover,0,3.0,Diesel,yes,2016,GL 350,Casablanca,37000,Automatic,First
Volkswagen,136500.0,sedan,161,2.0,Petrol,yes,2006,Passat B6,tetouan,7501,Automatic,First
BMW,538000.0,sedan,58,4.4,Other,yes,2011,750,tetouan,8000,Manual,First
Mercedes-Benz,82600.0,sedan,384,2.8,Petrol,yes,2000,E-Class,rabat,78000,Manual,First
Renault,128800.0,other,179,1.5,Diesel,yes,2012,Megane,tanger,11827,Automatic,First
Toyota,158500.0,other,82,2.0,Gas,yes,2007,Rav 4,Casablanca,28005,Manual,First
Audi,378500.0,sedan,71,2.8,Petrol,yes,2012,A6,tetouan,15305,Manual,First
Mercedes-Benz,1143000.0,crossover,16,5.5,Petrol,yes,2015,ML 63 AMG,oujda,82497,Manual,First
Volkswagen,85900.0,other,168,1.9,Diesel,yes,2006,T5 (Transporter),agadir,24005,Manual,First
Mercedes-Benz,51800.0,sedan,199,3.2,Diesel,yes,1999,E-Class,mekness,38000,Manual,First
Toyota,316900.0,sedan,15,2.5,Petrol,yes,2015,Camry,tanger,51210,Automatic,First
Mercedes-Benz,109000.0,van,450,,Diesel,yes,1998,Sprinter 312,mekness,75000,Manual,First
Mercedes-Benz,141450.0,other,199,2.2,Diesel,yes,2012,Vito,tanger,72717,Manual,First
Audi,134500.0,sedan,146,1.8,Petrol,yes,2007,A4,sefrou,75000,Manual,Second
Volkswagen,329000.0,sedan,67,2.0,Diesel,yes,2013,Passat B7,tetouan,30675,Manual,First
Volkswagen,15700.0,hatch,250,1.4,Petrol,no,1998,Polo,Casablanca,25000,Manual,Second
Mercedes-Benz,2086989.0,other,0,4.7,Petrol,yes,2016,S 500,agadir,60000,Manual,Second
Toyota,92500.0,hatch,55,1.0,Petrol,yes,2011,Aygo,mekness,65055,Manual,First
Mercedes-Benz,23189.0,van,396,2.2,Diesel,no,2000,Vito,agadir,51000,Manual,First
Volkswagen,13500.0,other,160,1.4,Petrol,no,1999,Golf IV,rabat,148000,Manual,Second
Volkswagen,113400.0,sedan,78,1.6,Petrol,yes,2012,Polo,tetouan,13000,Manual,First
BMW,74889.0,vagon,320,2.8,Gas,yes,1997,528,rabat,38009,Automatic,First
Volkswagen,34200.0,sedan,367,2.0,Petrol,yes,1991,Passat B3,tanger,21979,Automatic,First
Volkswagen,54000.0,hatch,190,,Petrol,yes,1998,Golf IV,Casablanca,20000,Manual,First
Volkswagen,147500.0,sedan,104,1.8,Petrol,yes,2010,Passat B6,Casablanca,12000,Manual,First
Mercedes-Benz,191500.0,sedan,130,3.0,Petrol,yes,2007,C-Class,sefrou,30000,Manual,First
Toyota,184900.0,hatch,20,1.6,Petrol,yes,2014,Auris,oujda,143275,Manual,First
Audi,87000.0,sedan,234,4.2,Gas,no,2004,A8,oujda,63000,Manual,First
Volkswagen,105150.0,vagon,200,1.4,Gas,yes,2009,Passat B6,Casablanca,27853,Automatic,First
Mercedes-Benz,73800.0,van,242,2.2,Diesel,yes,1999,Vito,marrakech,63000,Automatic,First
Toyota,177200.0,crossover,219,2.7,Petrol,yes,2006,Land Cruiser Prado,oujda,69000,Manual,First
BMW,237700.0,sedan,259,3.0,Diesel,yes,2007,730,dakhla,98598,Manual,First
Volkswagen,92500.0,van,216,1.9,Diesel,yes,2005,Caddy,tanger,22767,Manual,First
BMW,166200.0,sedan,227,2.5,Petrol,yes,2008,525,rabat,38767,Manual,First
Volkswagen,131000.0,other,209,,Diesel,yes,2006,T5 (Transporter) ,oujda,81650,Automatic,First
Mercedes-Benz,87000.0,van,280,2.2,Diesel,yes,2005,Vito,rabat,72000,Manual,First
Mercedes-Benz,3299000.0,sedan,68,6.0,Petrol,yes,2011,S 600,mekness,78256,Automatic,First
Mercedes-Benz,223400.0,sedan,190,1.8,Gas,yes,2011,E-Class,hosseima,56066,Manual,First
